text,intent,location
Tell me about workshops at Bookshop,event_query,Bookshop
Which way is Cafeteria from here?,find_location,Cafeteria
How do I get accessibility help?,accessibility,
What time does Computer Lab open?,opening_hours,Computer Lab
Give me directions to Music Hall,find_location,Music Hall
What time does Lecture Hall A open?,opening_hours,Lecture Hall A
Take me to the Science Centre,find_location,Science Centre
When does the Career Centre close today?,opening_hours,Career Centre
Give me information about the administration building,facility_information,Administration Office
Show upcoming events for Library,event_query,Library
What facilities does Student Union have?,facility_information,Student Union
Is Student Union open this weekend?,opening_hours,Student Union
What events are happening at Innovation Hub?,event_query,Innovation Hub
Take me to the Administration Office,find_location,Administration Office
Is Research Centre open this weekend?,opening_hours,Research Centre
Tell me about workshops at Accommodation Office,event_query,Accommodation Office
How do I get to Engineering Building?,find_location,Engineering Building
What facilities does Lecture Hall A have?,facility_information,Lecture Hall A
Are there any activities in the Cafeteria?,event_query,Cafeteria
Where is the Science Centre?,find_location,Science Centre
Show upcoming events for Prayer Room,event_query,Prayer Room
What are the hours at Prayer Room?,opening_hours,Prayer Room
Does Innovation Hub have useful student facilities?,facility_information,Innovation Hub
How do I get to Cafeteria?,find_location,Cafeteria
Does Prayer Room have useful student facilities?,facility_information,Prayer Room
When does the Health Centre close today?,opening_hours,Health Centre
Take me to the Music Hall,find_location,Music Hall
Tell me about workshops at Science Centre,event_query,Science Centre
Take me to the Accessibility Office,find_location,Accessibility Office
Which way is Library from here?,find_location,Library
Describe the Science Centre,facility_information,Science Centre
I need vegetarian food,food_services,
Where is the Lecture Hall B?,find_location,Lecture Hall B
When does the Engineering Building close today?,opening_hours,Engineering Building
Tell me about workshops at Accessibility Office,event_query,Accessibility Office
What is on at Health Centre this week?,event_query,Health Centre
Are there any activities in the Innovation Hub?,event_query,Innovation Hub
Does Lecture Hall A have useful student facilities?,facility_information,Lecture Hall A
Show upcoming events for Music Hall,event_query,Music Hall
What facilities does Health Centre have?,facility_information,Health Centre
How do I get to Computer Lab?,find_location,Computer Lab
Tell me the opening hours for Cafeteria,opening_hours,Cafeteria
Show upcoming events for Student Union,event_query,Student Union
Tell me the opening hours for Arts Studio,opening_hours,Arts Studio
Tell me the opening hours for Bookshop,opening_hours,Bookshop
Where is the Health Centre?,find_location,Health Centre
Where is the nearest coffee?,food_services,
Tell me the opening hours for Student Union,opening_hours,Student Union
Where is the Research Centre?,find_location,Research Centre
What events are happening at Engineering Building?,event_query,Engineering Building
Where is the Arts Studio?,find_location,Arts Studio
Is Music Hall open this weekend?,opening_hours,Music Hall
Take me to the Innovation Hub,find_location,Innovation Hub
Show upcoming events for Accessibility Office,event_query,Accessibility Office
Does Sports Centre have useful student facilities?,facility_information,Sports Centre
Take me to the Computer Lab,find_location,Computer Lab
What facilities does Sports Centre have?,facility_information,Sports Centre
Is Sports Centre open this weekend?,opening_hours,Sports Centre
are you there,greeting,
Is Library open this weekend?,opening_hours,Library
When does the Bookshop close today?,opening_hours,Bookshop
Can someone help with a learning plan?,accessibility,
Which way is Computer Lab from here?,find_location,Computer Lab
Where is the Accommodation Office?,find_location,Accommodation Office
Tell me about workshops at Library,event_query,Library
Describe the Administration Office,facility_information,Administration Office
Where is the Cafeteria?,find_location,Cafeteria
Does this place have assistive technology?,accessibility,
What is on at Research Centre this week?,event_query,Research Centre
Describe the Health Centre,facility_information,Health Centre
Give me information about the creative building,facility_information,Arts Studio
Where can I find a quiet study space?,study_space,
Describe the Accessibility Office,facility_information,Accessibility Office
What can I do in the Bookshop?,facility_information,Bookshop
Describe the Engineering Building,facility_information,Engineering Building
Tell me the opening hours for Health Centre,opening_hours,Health Centre
Show upcoming events for Health Centre,event_query,Health Centre
What facilities does Music Hall have?,facility_information,Music Hall
I need disability support,accessibility,
Are there any activities in the Science Centre?,event_query,Science Centre
cheers goodbye,goodbye,
Where can I ask about exam adjustments?,accessibility,
Give me directions to Accommodation Office,find_location,Accommodation Office
What events are happening at Prayer Room?,event_query,Prayer Room
What are the hours at Arts Studio?,opening_hours,Arts Studio
How do I get to Health Centre?,find_location,Health Centre
How do I get to Innovation Hub?,find_location,Innovation Hub
Give me directions to Cafeteria,find_location,Cafeteria
What can I do in the Health Centre?,facility_information,Health Centre
What events are happening at Career Centre?,event_query,Career Centre
What are the hours at Accommodation Office?,opening_hours,Accommodation Office
Give me information about the research building,facility_information,Science Centre
What time does Lecture Hall B open?,opening_hours,Lecture Hall B
What is on at Cafeteria this week?,event_query,Cafeteria
How do I get to Library?,find_location,Library
I need study space near the library,study_space,
end chat,goodbye,
What are the hours at Cafeteria?,opening_hours,Cafeteria
Where is the Lecture Hall A?,find_location,Lecture Hall A
What time does Health Centre open?,opening_hours,Health Centre
Tell me about workshops at Student Union,event_query,Student Union
Give me directions to Arts Studio,find_location,Arts Studio
When does the Research Centre close today?,opening_hours,Research Centre
Are there any activities in the Lecture Hall A?,event_query,Lecture Hall A
Give me information about the retail building,facility_information,Bookshop
Translate this sentence,other,
Show upcoming events for Cafeteria,event_query,Cafeteria
What time does Prayer Room open?,opening_hours,Prayer Room
Which way is Arts Studio from here?,find_location,Arts Studio
How do I get to Science Centre?,find_location,Science Centre
What is on at Library this week?,event_query,Library
What facilities does Accommodation Office have?,facility_information,Accommodation Office
Is Lecture Hall A open this weekend?,opening_hours,Lecture Hall A
Tell me the opening hours for Accessibility Office,opening_hours,Accessibility Office
What is on at Arts Studio this week?,event_query,Arts Studio
When does the Innovation Hub close today?,opening_hours,Innovation Hub
Is Bookshop open this weekend?,opening_hours,Bookshop
Tell me a joke,other,
Tell me about workshops at Sports Centre,event_query,Sports Centre
When does the Accommodation Office close today?,opening_hours,Accommodation Office
thanks that is all,goodbye,
Give me information about the student services building,facility_information,Accommodation Office
Give me directions to Science Centre,find_location,Science Centre
Tell me about workshops at Cafeteria,event_query,Cafeteria
Give me directions to Research Centre,find_location,Research Centre
What events are happening at Cafeteria?,event_query,Cafeteria
Tell me about workshops at Innovation Hub,event_query,Innovation Hub
What are the hours at Career Centre?,opening_hours,Career Centre
Order a taxi,other,
Tell me the opening hours for Career Centre,opening_hours,Career Centre
What are the hours at Innovation Hub?,opening_hours,Innovation Hub
Does Cafeteria have useful student facilities?,facility_information,Cafeteria
Is Cafeteria open this weekend?,opening_hours,Cafeteria
Which way is Prayer Room from here?,find_location,Prayer Room
What facilities does Engineering Building have?,facility_information,Engineering Building
Show upcoming events for Science Centre,event_query,Science Centre
How do I get to Student Union?,find_location,Student Union
What is on at Accommodation Office this week?,event_query,Accommodation Office
Where is the Innovation Hub?,find_location,Innovation Hub
Describe the Arts Studio,facility_information,Arts Studio
Are there any activities in the Career Centre?,event_query,Career Centre
What time does Accessibility Office open?,opening_hours,Accessibility Office
What is on at Music Hall this week?,event_query,Music Hall
What food options are open now?,food_services,
Give me directions to Prayer Room,find_location,Prayer Room
What can I do in the Science Centre?,facility_information,Science Centre
Is Accommodation Office open this weekend?,opening_hours,Accommodation Office
What are the hours at Administration Office?,opening_hours,Administration Office
What events are happening at Sports Centre?,event_query,Sports Centre
Are there any activities in the Administration Office?,event_query,Administration Office
Give me information about the faith building,facility_information,Prayer Room
Give me information about the teaching building,facility_information,Lecture Hall A
Show upcoming events for Research Centre,event_query,Research Centre
Tell me the opening hours for Lecture Hall A,opening_hours,Lecture Hall A
What events are happening at Bookshop?,event_query,Bookshop
Tell me about workshops at Health Centre,event_query,Health Centre
How do I get to Sports Centre?,find_location,Sports Centre
What is the university ranking?,other,
Where is the Student Union?,find_location,Student Union
Is Career Centre open this weekend?,opening_hours,Career Centre
Are there any activities in the Computer Lab?,event_query,Computer Lab
When does the Lecture Hall B close today?,opening_hours,Lecture Hall B
What events are happening at Arts Studio?,event_query,Arts Studio
Is Prayer Room open this weekend?,opening_hours,Prayer Room
hello chatbot,greeting,
Take me to the Lecture Hall B,find_location,Lecture Hall B
